"job","category","role","app"
"test","vpa","rest","vpa-updater"
"test","vpa","rest","vpa-recomender"
"test","vpa","rest","vpa-admission-controller"
"ops","rest","rest","velero"
"unknown","unknown","unknown","v2.50.1"
"unknown","unknown","unknown","v1.7.0"
"unknown","unknown","unknown","unknown"
"ops","rest","rest","state-metrics"
"obs","prometheus","prometheus","server"
"infra","k8s","rest","scale-down-rights"
"ops","robusta","rest","robusta-runner"
"ops","robusta","rest","robusta-forwarder"
"app","jedox","aux","redis"
"obs","prometheus","prometheus","prometheus-stack"
"obs","prometheus","prometheus","prometheus-pushgateway"
"obs","prometheus","prometheus","prometheus-node-exporter"
"obs","prometheus","prometheus","prometheus"
"obs","klustercost","aux","postgres"
"app","jedox","aux","openvpn"
"obs","opentelemetry","opentelemetry","opentelemetry"
"infra","k8s","rest","node-manager"
"infra","k8s","rest","node-local"
"app","jedox","ingress","nginx-errors"
"app","jedox","ingress","nginx"
"infra","rest","rest","nfs-readahead"
"infra","rest","rest","metrics-server"
"obs","other","metrics","metrics"
"obs","grafana","loki","loki-promtail"
"obs","grafana","loki","loki"
"obs","rest","rest","logging"
"test","kubecost","rest","kubecost-network"
"test","kubecost","rest","kubecost-grafana"
"test","kubecost","rest","kubecost"
"unknown","unknown","unknown","kube-state-metrics"
"infra","k8s","rest","kube-proxy"
"other","rest","rest","konectivity"
"obs","klustercost","klustercost","klustercost-update"
"obs","klustercost","klustercost","klustercost-price"
"obs","klustercost","klustercost","klustercost-monitor"
"app","jedox","base","jedox-views"
"app","jedox","aux","jedox-sss"
"app","jedox","aux","jedox-ssh"
"app","jedox","base","jedox-rpc"
"app","jedox","aux","jedox-psf"
"app","jedox","aux","jedox-pool-ingress"
"app","jedox","operator","jedox-operator"
"app","jedox","base","jedox-olap"
"app","jedox","aux","jedox-odata"
"app","jedox","operator","jedox-metrics"
"app","jedox","aux","jedox-etl-r"
"app","jedox","base","jedox-etl"
"app","jedox","base","jedox-controller"
"app","jedox","base","jedox-apache"
"infra","istio","rest","istio"
"app","jedox","operations","instrumentation"
"infra","ingress","rest","ingress"
"Helm","unknown","unknown","Helm"
"obs","grafana","rest","grafana"
"other","rest","rest","gatekeeper"
"other","view","rest","dashboard"
"app","jedox","operations","custom-metrics"
"infra","k8s","rest","csi"
"infra","k8s","rest","core-dns"
"app","jedox","base","chrome"
"infra","microsoft","azure","azure-policy-webhook"
"infra","microsoft","azure","azure-policy"
"infra","microsoft","azure","azure-ip"
"obs","prometheus","alertmanager","alertmanager"
"unknown","unknown","unknown","2.10.1"
"unknown","unknown","unknown","1.7.0"
"unknown","unknown","unknown","0"
